DLL Page Link,DLL Identifier,Record title,DLL Author,DLL Contributor,DLL Work Reference,Publisher,Place of Publication,Date,Source,Repository Source,rights,rights,Type,Format
https://catalog.digitallatin.org/dll-item-record/IR955,IR955,P. Ovidius Naso,"Ovid, 43 B.C.-17 A.D. or 18 A.D. ","Ehwald, Rudolf, 1847-1927, Merkel, Rudolf, 1811-1885",Amores;Heroides;Medicamina Faciei Femineae;Ars Amatoria;Remedia Amoris;Metamorphoses;Tristia;Ibis;Epistulae ex Ponto;Fasti,B.G. Teubner,Leipzig,1853,https://catalog.hathitrust.org/Record/012289488,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR956,IR956,P. Ovidius Naso,"Ovid, 43 B.C.-17 A.D. or 18 A.D. ","Ehwald, Rudolf, 1847-1927, Merkel, Rudolf, 1811-1885",Amores;Heroides;Medicamina Faciei Femineae;Ars Amatoria;Remedia Amoris;Metamorphoses;Tristia;Ibis;Epistulae ex Ponto;Fasti,B.G. Teubner,Leipzig,1884,https://catalog.hathitrust.org/Record/011665040,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR30,IR30,Ex Plauti comoediis: XX. quarvm carmina magna ex parte in mensum suum restituta sunt,"Plautus, Titus Maccius","Torresanus, Andreas, de Asula, 1451-1529 ",Amphitruo;Asinaria;Aulularia;Bacchides;Captivi;Casina;Cistellaria;Curculio;Epidicus;Menaechmi;Mercator;Miles Gloriosus;Mostellaria;Persa;Poenulus;Pseudolus;Rudens;Stichus;Trinummus;Truculentus,"in aedibus Aldi, et Andreae Asulani soceri",Venetiis,1522,https://catalog.hathitrust.org/Record/100000725,HathiTrust Digital Library,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1023,IR1023,T. Macci Plauti comoediae,"Plautus, Titus Maccius","Fleckeisen, Alfred, 1820-1899",Amphitruo;Captivi;Miles Gloriosus;Rudens;Trinummus;Asinaria;Bacchides;Curculio;Pseudolus;Stichus,B.G. Teubner,Leipzig,1874,https://catalog.hathitrust.org/Record/100346341,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1024,IR1024,T. Macci Plauti comoediae,"Plautus, Titus Maccius","Ritschl, Friedrich Wilhelm, 1806-1876",Amphitruo;Captivi;Miles Gloriosus;Rudens;Trinummus;Asinaria;Bacchides;Curculio;Pseudolus;Stichus,B.G. Teubner,Leipzig,1871,https://catalog.hathitrust.org/Record/008691966,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1025,IR1025,T. Macci Plauti comoediae,"Plautus, Titus Maccius","Fleckeisen, Alfred, 1820-1899",Amphitruo;Captivi;Miles Gloriosus;Rudens;Trinummus;Asinaria;Bacchides;Curculio;Pseudolus;Stichus,B.G. Teubner,Leipzig,1876,https://catalog.hathitrust.org/Record/100494005,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1026,IR1026,T. Macci Plauti comoediae,"Plautus, Titus Maccius","Fleckeisen, Alfred, 1820-1899",Amphitruo;Captivi;Miles Gloriosus;Rudens;Trinummus;Asinaria;Bacchides;Curculio;Pseudolus;Stichus,B.G. Teubner,Leipzig,1850,https://catalog.hathitrust.org/Record/100739953,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1027,IR1027,T. Macci Plauti Comoediae,"Plautus, Titus Maccius","Fleckeisen, Alfred, 1820-1899",Amphitruo;Captivi;Miles Gloriosus;Rudens;Trinummus;Asinaria;Bacchides;Curculio;Pseudolus;Stichus,B.G. Teubner,Leipzig,1891,https://catalog.hathitrust.org/Record/001809466,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1222,IR1222,Grani Liciniani quae supersunt,Granius Licinianus,,Annales,B.G. Teubner,Leipzig,1858,https://catalog.hathitrust.org/Record/011609148,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1223,IR1223,Grani Liciniani quae supersunt,Granius Licinianus,"Flemisch, Michael, 1873-",Annales,B.G. Teubner,Leipzig,1904,https://catalog.hathitrust.org/Record/006792415,HathiTrust,Public Domain,Public Domain,,PDF
